CustomerDetail,Comment,CommentClass,ProductID,Comment_en,CommentClass_en,labels,tokens,clean_comment
**** ****|25 Ağustos 2019|LAV satıcısından alındı.,Paketleme güzeldi tek tek sarılmıştı kırık çizik yoktu 👍 Uzun olan bardakların dip kısmı yamuk biraz entersan geldi 🤔 en kucuk boy olanlar magnolia v.b tatli yapmaya uygun görünüyor deniyeceğim 😄,['iyipaketleme'],28,Packaging was nice one by one hugged broken scratch there was no fracture scratches 👍 The bottom of the cups came a little trapezoid a little entersan 🤔 The most small -sized ones Magnolia etc.,['good -up'],['good -up'],"['packaging', 'nice', 'one', 'one', 'hugged', 'broken', 'scratch', 'fracture', 'scratch', 'bottom', 'cup', 'came', 'little', 'trapezoid', 'little', 'entersan', 'small', 'sized', 'one', 'magnolia', 'etc']",packaging nice one one hugged broken scratch fracture scratch bottom cup came little trapezoid little entersan small sized one magnolia etc
**** ****|2 Mart 2020|LAV satıcısından alındı.,"Küçük olan şerbet ya da kahve yanı için, orta boyu su bardağı olarak büyük olanlar da meşrubat bardağı olarak ideal bence çok beğendim. Paketlemesi de gayet iyiydi.",['iyipaketleme'],28,"For the small sherbet or coffee as well as the mid -sized cup of water, I think the ideal as the soft drink cup. The packaging was also fine.",['good -up'],['good -up'],"['small', 'sherbet', 'coffee', 'well', 'mid', 'sized', 'cup', 'water', 'think', 'ideal', 'soft', 'drink', 'cup', 'packaging', 'also', 'fine']",small sherbet coffee well mid sized cup water think ideal soft drink cup packaging also fine
N** K**|9 Ağustos 2021|Markam Burada satıcısından alındı.,Daha önce farklı bi satıcıdan almıştım çok iyi paketlenmişti bu sefer farkında olmadan başka satıcıdan almışım kırık geldi ne yazık ki umarım telafi edilir,"['iyipaketleme','kırıkgeldi']",28,"I bought it from a different seller before it was very well packaged this time I bought it from another seller without realizing it, unfortunately I hope it will be compensated.","['good -up', 'broken']","['good -up', 'broken']","['bought', 'different', 'seller', 'well', 'packaged', 'time', 'bought', 'another', 'seller', 'without', 'realizing', 'unfortunately', 'hope', 'compensated']",bought different seller well packaged time bought another seller without realizing unfortunately hope compensated
Gönül Acu|24 Haziran 2021|LAV satıcısından alındı.,"Ürünü 12 ye tamamlayacaktım , fakat gelen ürünü gördükten sonra niye bir set daha vermedim diye kendime kızdım:/ olsun şimdi indirime girince tekrar sipariş vereceğim, alın aldırın , çeyizimi parça parça alıyordum bardaklar eksikti bunlar tam oldu sade ve çok şık, şahaşalı şeyleri zaten sevmem :) bardaklardan en küçüğü, çok büyük diyen olmuş fotoğraf ekledim bence kahve yanına öyle küçücük su bardakları koymaktansa bu daha daha güzel , ki göreceksiniz zaten paket gelince :) herkes almalı bence , paketleme de mükemmel kırık yok şükür 🙏😊",['iyipaketleme'],28,"I was going to complete the product to 12, but after seeing the product, I was angry that I did not give a set more:/ Let it be again when I entered the discount, I will take my order again, take my dowry piece by piece. Packaging also no perfect fracture 🙏😊",['good -up'],['good -up'],"['going', 'complete', 'product', 'seeing', 'product', 'angry', 'give', 'set', 'let', 'entered', 'discount', 'take', 'order', 'take', 'dowry', 'piece', 'piece', 'packaging', 'also', 'perfect', 'fracture']",going complete product seeing product angry give set let entered discount take order take dowry piece piece packaging also perfect fracture
G** Ç**|23 Mayıs 2021|NAR50 satıcısından alındı.,Özenli paketleme ve harika bardaklar teşekkür ederim. Ben 64 liraya aldım ve baya memnun kaldım. Allahını seven yorumlara fotoğraf koysun gelen ürünü görelim. 3 boyun da fotoğrafını ekledim.,"['iyipaketleme','ürüngüzel']",28,Thank you attentive packaging and great glasses. I bought it for 64 pounds and I was very satisfied. Let us see the product that loves the comments of God. I added 3 neck photos.,"['good -up', 'Product']","['good -up', 'Product']","['thank', 'attentive', 'packaging', 'great', 'glass', 'bought', 'pound', 'satisfied', 'let', 'see', 'product', 'love', 'comment', 'god', 'added', 'neck', 'photo']",thank attentive packaging great glass bought pound satisfied let see product love comment god added neck photo
**** ****|28 Aralık 2019|LAV satıcısından alındı.,Paketleme çok güzel .. Bardaklar gayet kaliteli. en küçük için kahve yani bardagi olur demişler ama normal günlük bardak olacak kadar büyük.. Kesinlikle alınır,['iyipaketleme'],28,"Packaging is very nice .. Cups are very high quality. They said there would be coffee for the smallest, but it is big enough to be a normal daily cup .. definitely taken",['good -up'],['good -up'],"['packaging', 'nice', 'cup', 'high', 'quality', 'said', 'would', 'coffee', 'smallest', 'big', 'enough', 'normal', 'daily', 'cup', 'definitely', 'taken']",packaging nice cup high quality said would coffee smallest big enough normal daily cup definitely taken
servet Ercan|2 Kasım 2019|LAV satıcısından alındı.,urun elime kisa sürede ulaştı cok guzel paketlenmişti ve hic kırık yoktu bardaklarin boylari da gayet guzel ve ideal en kucuk biyu bile guzel diger yorumlarda bahsedildigi kadar kucuk degil ceyizlik düşünenlere tavsiye ederim,"['iyipaketleme','hızlıteslimat']",28,The product reached my hand in a short time and was very nicely packaged and there was no broken cups.,"['good -up', 'Speedeslimat']","['good -up', 'Speedeslimat']","['product', 'reached', 'hand', 'short', 'time', 'nicely', 'packaged', 'broken', 'cup']",product reached hand short time nicely packaged broken cup
Mine Gökhan|16 Eylül 2019|LAV satıcısından alındı.,"Güzel paketlenmiş, hiç zarar görmeden geldi. Bardak çeşitliliği çok iyi. Her evin ihtiyacı, kesinlikle alınmalı.",['iyipaketleme'],28,"Beautifully packaged, it came without any damage. The variety of cups is very good. The need of every house should definitely be taken.",['good -up'],['good -up'],"['beautifully', 'packaged', 'came', 'without', 'damage', 'variety', 'cup', 'good', 'need', 'every', 'house', 'definitely', 'taken']",beautifully packaged came without damage variety cup good need every house definitely taken
**** ****|13 Eylül 2019|LAV satıcısından alındı.,ürün elime bir kaç günde geldi. bardaklar tek tek balonlu poşete geçirilmiş kutuda karton var kendi kutusu ekstra başka bir kutuda o kadar güzel paketlenmiş ki 1 tane kırık yok çok şükür. 3 paket sipariş verdim kargocu 2 koliyi 1 kerede getirdi bugün de diğer kolimi getirdi arkadaşlar unutmuşlar dedi yanlışlıkla bende onlar yüzünden size kötü puan verdim özür dilerim. bardaklar çok kalın ve kaliteli hepsini çeyizime koyucam . kolay gelsin . hakkınızı helal edin lütfen yanlışlıkla yaptım,['iyipaketleme'],28,The product came to my hand a few days. The cups have a cardboard in the box with a single balloon bag in the box of their own box extra in another box so beautifully packaged that there is no fracture. I ordered 3 packages cargoer 2 parcels brought at 1 time today brought my other arm brought friends forgotten said accidentally I gave you bad points because of them I apologize. The cups are too thick and I will put them all in my dowry. good luck . Please HALAL YOUR RIGHT PLEASE MADE INCLUDING,['good -up'],['good -up'],"['product', 'came', 'hand', 'day', 'cup', 'cardboard', 'box', 'single', 'balloon', 'bag', 'box', 'box', 'extra', 'another', 'box', 'beautifully', 'packaged', 'fracture', 'ordered', 'package', 'cargoer', 'parcel', 'brought', 'time', 'today', 'brought', 'arm', 'brought', 'friend', 'forgotten', 'said', 'accidentally', 'gave', 'bad', 'point', 'apologize', 'cup', 'thick', 'put', 'dowry', 'good', 'luck', 'please', 'halal', 'right', 'please', 'made', 'including']",product came hand day cup cardboard box single balloon bag box box extra another box beautifully packaged fracture ordered package cargoer parcel brought time today brought arm brought friend forgotten said accidentally gave bad point apologize cup thick put dowry good luck please halal right please made including
izel dikilitas|21 Haziran 2019|LAV satıcısından alındı.,ürünler cok güzel ve kaliteli..paketlemeler harikaydı hepsi tek tek Özenle paketlenmiş cok tesekkurler,"['iyipaketleme','kaliteliürün']",28,The products are very nice and high quality.,"['good -up', 'your quality']","['good -up', 'your quality']","['product', 'nice', 'high', 'quality']",product nice high quality
**** ****|13 Haziran 2019|LAV satıcısından alındı.,Hem fiyat olarak çok uygun hem de çok şık. Paketlemesi de çok iyiydi. Bir takım almıştım şimdi ikinci takımı sipariş verdim. Güvenle alabilirsiniz.,['iyipaketleme'],28,Both the price is very affordable and very stylish. The packaging was also very good. I bought a team now I ordered the second team. You can buy it safely.,['good -up'],['good -up'],"['price', 'affordable', 'stylish', 'packaging', 'also', 'good', 'bought', 'team', 'ordered', 'second', 'team', 'buy', 'safely']",price affordable stylish packaging also good bought team ordered second team buy safely
Hilal Eken|13 Kasım 2021|LAV satıcısından alındı.,ürünler çok güzel günlük için de misafir için de kullanılır ürünler hafif değil tam olması gerektiği gibi kahve yani bardağı emsallerine göre biraz büyük ama kötü degil sonuçta fincan boyları bile farklı olabiliyor camı kalın paketleme de çok iyiydi kırık yok tavsiye ederim kullanısli ürün,['iyipaketleme'],28,"The products are used for the very nice daily and for the guests, the products are not light, but as it should be complete, coffee is a bit big compared to their peers, but not even the cup height can be different even thick packaging was very good.",['good -up'],['good -up'],"['product', 'used', 'nice', 'daily', 'guest', 'product', 'light', 'complete', 'coffee', 'bit', 'big', 'compared', 'peer', 'even', 'cup', 'height', 'different', 'even', 'thick', 'packaging', 'good']",product used nice daily guest product light complete coffee bit big compared peer even cup height different even thick packaging good
